id,state_code,state_name,office,district,level,reason,vacancy_date,primary_date,general_date,runoff_date,status,confidence,source_url,notes
FL-StateRep-90-2025,FL,Florida,State Representative,HD-90,state_legislative,Vacancy,,,2025-12-09,,scheduled,High,https://dos.fl.gov/elections/for-voters/special-elections/,Special primary Sept 30 2025 completed
FL-StateSenate-11-2025,FL,Florida,State Senate,SD-11,state_legislative,Vacancy,,,2025-12-09,,scheduled,High,https://dos.fl.gov/elections/for-voters/special-elections/,Special primary Sept 30 2025 completed
FL-StateRep-51-2026,FL,Florida,State Representative,HD-51,state_legislative,Vacancy,,,2026-03-24,,scheduled,High,https://dos.fl.gov/elections/for-voters/special-elections/,No special primary will be held
FL-StateSenate-14-2026,FL,Florida,State Senate,SD-14,state_legislative,Vacancy,,,2026-03-24,,scheduled,High,https://dos.fl.gov/elections/for-voters/special-elections/,Special primary cancelled - candidate withdrew
FL-StateRep-87-2026,FL,Florida,State Representative,HD-87,state_legislative,Vacancy,,2026-01-13,2026-03-24,,scheduled,High,https://dos.fl.gov/elections/for-voters/special-elections/,Primary Jan 13 general March 24
NJ-House-11-2026,NJ,New Jersey,U.S. House,NJ-11,federal,Resignation of Mikie Sherrill,2025-11-21,,,2026-04-16,scheduled,High,https://nj.gov/state/elections/election-information-results.shtml,Sherrill became NJ Governor; petition deadline Feb 5 2026
AL-StateHouse-38-2025,AL,Alabama,State House,HD-38,state_legislative,Vacancy,,,,,runoff_pending,Medium,https://www.sos.alabama.gov/alabama-votes,Special primary runoff in progress; date TBD from SOS
